Superlattice vectors (celldm1_l units):
Se1 -78.02000000000 58.46248799883 4.34440811000
Se2 -78.02000000000 58.46248799883 7.43463952000
Mo -79.68000000000 57.50408656000 5.88952381500
Se1 -79.68000000000 61.33769232683 4.34440811000
Se2 -79.68000000000 61.33769232683 7.43463952000
Se1 -58.10000000000 29.71044471883 4.34440811000
Se2 -58.10000000000 29.71044471883 7.43463952000
Se1 -59.76000000000 32.58564904683 4.34440811000
Se2 -59.76000000000 32.58564904683 7.43463952000
Mo -61.42000000000 31.62724760800 5.88952381500
Se1 -61.42000000000 35.46085337483 4.34440811000
Se2 -61.42000000000 35.46085337483 7.43463952000
Mo -63.08000000000 34.50245193600 5.88952381500
Se1 -63.08000000000 38.33605770283 4.34440811000
Se2 -63.08000000000 38.33605770283 7.43463952000
Mo -64.74000000000 37.37765626400 5.88952381500
Se1 -64.74000000000 41.21126203083 4.34440811000
Se2 -64.74000000000 41.21126203083 7.43463952000
Mo -66.40000000000 40.25286059200 5.88952381500
Se1 -66.40000000000 44.08646635883 4.34440811000
Se2 -66.40000000000 44.08646635883 7.43463952000
Mo -68.06000000000 43.12806492000 5.88952381500
Se1 -68.06000000000 46.96167068683 4.34440811000
Se2 -68.06000000000 46.96167068683 7.43463952000
Mo -69.72000000000 46.00326924800 5.88952381500
Se1 -69.72000000000 49.83687501483 4.34440811000
Se2 -69.72000000000 49.83687501483 7.43463952000
Mo -71.38000000000 48.87847357600 5.88952381500
Se1 -71.38000000000 52.71207934283 4.34440811000
Se2 -71.38000000000 52.71207934283 7.43463952000
Mo -73.04000000000 51.75367790400 5.88952381500
Se1 -73.04000000000 55.58728367083 4.34440811000
Se2 -73.04000000000 55.58728367083 7.43463952000
Mo -74.70000000000 54.62888223200 5.88952381500
Se1 -74.70000000000 58.46248799883 4.34440811000
Se2 -74.70000000000 58.46248799883 7.43463952000
Mo -76.36000000000 57.50408656000 5.88952381500
Se1 -76.36000000000 61.33769232683 4.34440811000
Se2 -76.36000000000 61.33769232683 7.43463952000
Mo -78.02000000000 60.37929088800 5.88952381500
Se1 -78.02000000000 64.21289665483 4.34440811000
Se2 -78.02000000000 64.21289665483 7.43463952000
Mo -79.68000000000 63.25449521600 5.88952381500
Se1 -79.68000000000 67.08810098283 4.34440811000
Se2 -79.68000000000 67.08810098283 7.43463952000
Se1 -81.34000000000 69.96330531083 4.34440811000
Se2 -81.34000000000 69.96330531083 7.43463952000
Se1 -53.12000000000 26.83524039083 4.34440811000
Se2 -53.12000000000 26.83524039083 7.43463952000
Se1 -54.78000000000 29.71044471883 4.34440811000
Se2 -54.78000000000 29.71044471883 7.43463952000
Mo -56.44000000000 28.75204328000 5.88952381500
Se1 -56.44000000000 32.58564904683 4.34440811000
Se2 -56.44000000000 32.58564904683 7.43463952000
Mo -58.10000000000 31.62724760800 5.88952381500
Se1 -58.10000000000 35.46085337483 4.34440811000
Se2 -58.10000000000 35.46085337483 7.43463952000
Mo -59.76000000000 34.50245193600 5.88952381500
Se1 -59.76000000000 38.33605770283 4.34440811000
Se2 -59.76000000000 38.33605770283 7.43463952000
Mo -61.42000000000 37.37765626400 5.88952381500
Se1 -61.42000000000 41.21126203083 4.34440811000
Se2 -61.42000000000 41.21126203083 7.43463952000
Mo -63.08000000000 40.25286059200 5.88952381500
Se1 -63.08000000000 44.08646635883 4.34440811000
Se2 -63.08000000000 44.08646635883 7.43463952000
Mo -64.74000000000 43.12806492000 5.88952381500
Se1 -64.74000000000 46.96167068683 4.34440811000
Se2 -64.74000000000 46.96167068683 7.43463952000
Mo -66.40000000000 46.00326924800 5.88952381500
Se1 -66.40000000000 49.83687501483 4.34440811000
Se2 -66.40000000000 49.83687501483 7.43463952000
Mo -68.06000000000 48.87847357600 5.88952381500
Se1 -68.06000000000 52.71207934283 4.34440811000
Se2 -68.06000000000 52.71207934283 7.43463952000
Mo -69.72000000000 51.75367790400 5.88952381500
Se1 -69.72000000000 55.58728367083 4.34440811000
Se2 -69.72000000000 55.58728367083 7.43463952000
Mo -71.38000000000 54.62888223200 5.88952381500
Se1 -71.38000000000 58.46248799883 4.34440811000
Se2 -71.38000000000 58.46248799883 7.43463952000
Mo -73.04000000000 57.50408656000 5.88952381500
Se1 -73.04000000000 61.33769232683 4.34440811000
Se2 -73.04000000000 61.33769232683 7.43463952000
Mo -74.70000000000 60.37929088800 5.88952381500
Se1 -74.70000000000 64.21289665483 4.34440811000
Se2 -74.70000000000 64.21289665483 7.43463952000
Mo -76.36000000000 63.25449521600 5.88952381500
Se1 -76.36000000000 67.08810098283 4.34440811000
Se2 -76.36000000000 67.08810098283 7.43463952000
Mo -78.02000000000 66.12969954400 5.88952381500
Se1 -78.02000000000 69.96330531083 4.34440811000
Se2 -78.02000000000 69.96330531083 7.43463952000
Mo -79.68000000000 69.00490387200 5.88952381500
Se1 -79.68000000000 72.83850963883 4.34440811000
Se2 -79.68000000000 72.83850963883 7.43463952000
Mo -81.34000000000 71.88010820000 5.88952381500
Se1 -81.34000000000 75.71371396683 4.34440811000
Se2 -81.34000000000 75.71371396683 7.43463952000
Se1 -48.14000000000 23.96003606283 4.34440811000
Se2 -48.14000000000 23.96003606283 7.43463952000
Se1 -49.80000000000 26.83524039083 4.34440811000
Se2 -49.80000000000 26.83524039083 7.43463952000
Mo -51.46000000000 25.87683895200 5.88952381500
Se1 -51.46000000000 29.71044471883 4.34440811000
Se2 -51.46000000000 29.71044471883 7.43463952000
Mo -53.12000000000 28.75204328000 5.88952381500
Se1 -53.12000000000 32.58564904683 4.34440811000
Se2 -53.12000000000 32.58564904683 7.43463952000
Mo -54.78000000000 31.62724760800 5.88952381500
Se1 -54.78000000000 35.46085337483 4.34440811000
Se2 -54.78000000000 35.46085337483 7.43463952000
Mo -56.44000000000 34.50245193600 5.88952381500
Se1 -56.44000000000 38.33605770283 4.34440811000
Se2 -56.44000000000 38.33605770283 7.43463952000
Mo -58.10000000000 37.37765626400 5.88952381500
Se1 -58.10000000000 41.21126203083 4.34440811000
Se2 -58.10000000000 41.21126203083 7.43463952000
Mo -59.76000000000 40.25286059200 5.88952381500
Se1 -59.76000000000 44.08646635883 4.34440811000
Se2 -59.76000000000 44.08646635883 7.43463952000
Mo -61.42000000000 43.12806492000 5.88952381500
Se1 -61.42000000000 46.96167068683 4.34440811000
Se2 -61.42000000000 46.96167068683 7.43463952000
Mo -63.08000000000 46.00326924800 5.88952381500
Se1 -63.08000000000 49.83687501483 4.34440811000
Se2 -63.08000000000 49.83687501483 7.43463952000
Mo -64.74000000000 48.87847357600 5.88952381500
Se1 -64.74000000000 52.71207934283 4.34440811000
Se2 -64.74000000000 52.71207934283 7.43463952000
Mo -66.40000000000 51.75367790400 5.88952381500
Se1 -66.40000000000 55.58728367083 4.34440811000
Se2 -66.40000000000 55.58728367083 7.43463952000
Mo -68.06000000000 54.62888223200 5.88952381500
Se1 -68.06000000000 58.46248799883 4.34440811000
Se2 -68.06000000000 58.46248799883 7.43463952000
Mo -69.72000000000 57.50408656000 5.88952381500
Se1 -69.72000000000 61.33769232683 4.34440811000
Se2 -69.72000000000 61.33769232683 7.43463952000
Mo -71.38000000000 60.37929088800 5.88952381500
Se1 -71.38000000000 64.21289665483 4.34440811000
Se2 -71.38000000000 64.21289665483 7.43463952000
Mo -73.04000000000 63.25449521600 5.88952381500
Se1 -73.04000000000 67.08810098283 4.34440811000
Se2 -73.04000000000 67.08810098283 7.43463952000
Mo -74.70000000000 66.12969954400 5.88952381500
Se1 -74.70000000000 69.96330531083 4.34440811000
Se2 -74.70000000000 69.96330531083 7.43463952000
Mo -76.36000000000 69.00490387200 5.88952381500
Se1 -76.36000000000 72.83850963883 4.34440811000
Se2 -76.36000000000 72.83850963883 7.43463952000
Mo -78.02000000000 71.88010820000 5.88952381500
Se1 -78.02000000000 75.71371396683 4.34440811000
Se2 -78.02000000000 75.71371396683 7.43463952000
Mo -79.68000000000 74.75531252800 5.88952381500
Se1 -79.68000000000 78.58891829483 4.34440811000
Se2 -79.68000000000 78.58891829483 7.43463952000
Mo -81.34000000000 77.63051685600 5.88952381500
Se1 -81.34000000000 81.46412262283 4.34440811000
Se2 -81.34000000000 81.46412262283 7.43463952000
Se1 -43.16000000000 21.08483173483 4.34440811000
Se2 -43.16000000000 21.08483173483 7.43463952000
Se1 -44.82000000000 23.96003606283 4.34440811000
Se2 -44.82000000000 23.96003606283 7.43463952000
Mo -46.48000000000 23.00163462400 5.88952381500
Se1 -46.48000000000 26.83524039083 4.34440811000
Se2 -46.48000000000 26.83524039083 7.43463952000
Mo -48.14000000000 25.87683895200 5.88952381500
Se1 -48.14000000000 29.71044471883 4.34440811000
Se2 -48.14000000000 29.71044471883 7.43463952000
Mo -49.80000000000 28.75204328000 5.88952381500
Se1 -49.80000000000 32.58564904683 4.34440811000
Se2 -49.80000000000 32.58564904683 7.43463952000
Mo -51.46000000000 31.62724760800 5.88952381500
Se1 -51.46000000000 35.46085337483 4.34440811000
Se2 -51.46000000000 35.46085337483 7.43463952000
Mo -53.12000000000 34.50245193600 5.88952381500
Se1 -53.12000000000 38.33605770283 4.34440811000
Se2 -53.12000000000 38.33605770283 7.43463952000
Mo -54.78000000000 37.37765626400 5.88952381500
Se1 -54.78000000000 41.21126203083 4.34440811000
Se2 -54.78000000000 41.21126203083 7.43463952000
Mo -56.44000000000 40.25286059200 5.88952381500
Se1 -56.44000000000 44.08646635883 4.34440811000
Se2 -56.44000000000 44.08646635883 7.43463952000
Mo -58.10000000000 43.12806492000 5.88952381500
Se1 -58.10000000000 46.96167068683 4.34440811000
Se2 -58.10000000000 46.96167068683 7.43463952000
Mo -59.76000000000 46.00326924800 5.88952381500
